Name,Maximum Wind,Year,Month
             HALLIE,45.0,1966,9
             HANNAH,105.0,1959,9
             HARVEY,115.0,1981,9
             HATTIE,140.0,1961,10
             HELENA,45.0,1963,10
             HELENE,130.0,1958,9
             INGRID,75.0,2013,9
             ISABEL,145.0,2003,9
             ISBELL,110.0,1964,10
             JANICE,85.0,1958,10
             JEANNE,105.0,2004,9
             JUDITH,75.0,1959,10
             JULIET,45.0,1978,10
             KENDRA,70.0,1978,10
             KRISTY,45.0,1971,10
             LAURIE,90.0,1969,10
             LESLIE,70.0,2012,9
             MARTHA,80.0,1969,11
             NADINE,80.0,2012,9
             NICOLE,75.0,1998,12
             ODETTE,55.0,2003,12
             PALOMA,125.0,2008,11
             RAFAEL,80.0,2012,10
            ALBERTO,110.0,2000,8
            ALLISON,65.0,1995,6
            BARBARA,80.0,1953,8
            BLANCHE,75.0,1969,8
            CAMILLE,150.0,1969,8
            CANDICE,80.0,1976,8
            CHANTAL,70.0,1989,8
            CHARLEY,130.0,2004,8
            CHARLIE,115.0,1951,8
            DOROTHY,75.0,1966,7
            EDOUARD,125.0,1996,8
            EPSILON,75.0,2005,12
            ERNESTO,85.0,2012,8
            FERNAND,50.0,2013,8
            FIFTEEN,45.0,2007,10
            FLOSSIE,85.0,1978,9
            FRANCES,125.0,2004,8
            GEORGES,135.0,1998,9
            GILBERT,160.0,1988,9
            GONZALO,125.0,2014,10
            HERMINE,60.0,1980,9
            ISIDORE,110.0,2002,9
            JOAQUIN,135.0,2015,10
            KATRINA,150.0,2005,8
            LORENZO,70.0,2007,9
            MARILYN,100.0,1995,9
            MATTHEW,50.0,2010,9
            MELISSA,55.0,2013,11
            MICHAEL,100.0,2012,9
            OPHELIA,120.0,2011,10
            RICHARD,85.0,2010,10
            ROXANNE,100.0,1995,10
            SIXTEEN,25.0,2008,10
            UNNAMED,90.0,1970,10
           CAROLINE,100.0,1975,8
           DANIELLE,115.0,2010,8
           FLORENCE,100.0,1953,9
           FRANKLIN,60.0,2005,7
           FREDERIC,115.0,1979,9
           GERTRUDE,65.0,1974,9
           HORTENSE,120.0,1996,9
           HUMBERTO,95.0,1995,8
           MICHELLE,120.0,2001,11
           NICHOLAS,60.0,2003,10
           NINETEEN,30.0,2005,9
           PHILIPPE,80.0,2011,10
          CHRISTINE,60.0,1973,9
          CLAUDETTE,115.0,1991,9
          CRISTOBAL,75.0,2014,8
          FRANCELIA,100.0,1969,9
          GABRIELLE,125.0,1989,9
          JOSEPHINE,90.0,1984,10
          SEBASTIEN,55.0,1995,10
         TWENTY-TWO,40.0,2005,10
