Name,Maximum Wind,Year,Month,category
            ISIDORE,110.0,2002,9,2
            JOAQUIN,135.0,2015,10,4
            KATRINA,150.0,2005,8,4
            MARILYN,100.0,1995,9,2
            MICHAEL,100.0,2012,9,2
            OPHELIA,120.0,2011,10,3
            RICHARD,85.0,2010,10,1
            ROXANNE,100.0,1995,10,2
            UNNAMED,90.0,1970,10,1
           CAROLINE,100.0,1975,8,2
           DANIELLE,115.0,2010,8,3
           FLORENCE,100.0,1953,9,2
           FREDERIC,115.0,1979,9,3
           HORTENSE,120.0,1996,9,3
           HUMBERTO,95.0,1995,8,1
           MICHELLE,120.0,2001,11,3
           PHILIPPE,80.0,2011,10,1
          CLAUDETTE,115.0,1991,9,3
          CRISTOBAL,75.0,2014,8,1
          FRANCELIA,100.0,1969,9,2
          GABRIELLE,125.0,1989,9,3
          JOSEPHINE,90.0,1984,10,1
