Name,Maximum Wind,Year,Month,Latitude,Longitude,category
             ANDREW,150.0,1992,8,25.4,75.8,4
             ARLENE,90.0,1963,8,14.3,49.9,1
             ARTHUR,85.0,2014,7,34.0,77.3,1
             AUDREY,110.0,1957,6,29.3,93.8,2
             BERTHA,110.0,2008,7,20.3,51.9,2
             BEULAH,140.0,1967,9,24.2,96.2,4
             BONNIE,100.0,1998,8,24.1,71.5,2
             BRENDA,80.0,1973,8,19.0,92.1,1
             CARMEN,130.0,1974,9,18.4,86.8,4
             CARRIE,120.0,1957,9,17.4,42.9,3
             CONNIE,120.0,1955,8,22.8,68.8,3
             DEBBIE,105.0,1961,9,29.3,45.9,2
             DENNIS,130.0,2005,7,20.9,79.5,4
             ELOISE,110.0,1975,9,30.2,86.3,2
             ESTHER,125.0,1961,9,27.0,68.6,3
             FABIAN,125.0,2003,9,19.0,57.3,3
             FLOSSY,80.0,1956,9,29.9,87.6,1
             FRIEDA,75.0,1957,9,35.8,64.5,1
             GEORGE,95.0,1950,10,32.9,67.8,1
             GINGER,95.0,1971,9,33.3,53.3,1
             GLADYS,125.0,1964,9,25.0,65.1,3
             GLORIA,125.0,1985,9,25.1,70.9,3
             GORDON,105.0,2006,9,27.3,57.4,2
             GRACIE,115.0,1959,9,30.6,79.1,3
             GUSTAV,135.0,2008,8,22.4,83.1,4
             HANNAH,105.0,1959,9,27.9,65.6,2
             HARVEY,115.0,1981,9,28.4,62.6,3
             HATTIE,140.0,1961,10,18.2,85.2,4
             HELENE,130.0,1958,9,32.7,78.6,4
             INGRID,75.0,2013,9,21.6,94.7,1
             ISABEL,145.0,2003,9,21.5,54.8,4
             ISBELL,110.0,1964,10,24.0,82.9,2
             JANICE,85.0,1958,10,34.0,67.1,1
             JEANNE,105.0,2004,9,26.9,78.2,2
             JUDITH,75.0,1959,10,29.6,70.0,1
             LAURIE,90.0,1969,10,26.3,89.6,1
             MARTHA,80.0,1969,11,10.3,81.0,1
             NADINE,80.0,2012,9,36.8,38.3,1
             NICOLE,75.0,1998,12,35.1,37.9,1
             PALOMA,125.0,2008,11,19.8,79.6,3
             RAFAEL,80.0,2012,10,24.6,65.6,1
            ALBERTO,110.0,2000,8,35.9,55.3,2
            BARBARA,80.0,1953,8,34.6,76.2,1
            BLANCHE,75.0,1969,8,35.5,69.9,1
            CAMILLE,150.0,1969,8,24.3,86.6,4
            CANDICE,80.0,1976,8,41.3,56.4,1
            CHARLEY,130.0,2004,8,26.6,82.2,4
            CHARLIE,115.0,1951,8,20.2,86.7,3
            DOROTHY,75.0,1966,7,39.2,40.1,1
            EDOUARD,125.0,1996,8,15.4,47.0,3
            EPSILON,75.0,2005,12,34.0,36.7,1
            ERNESTO,85.0,2012,8,18.8,87.7,1
            FLOSSIE,85.0,1978,9,31.8,42.9,1
            FRANCES,125.0,2004,8,20.3,65.0,3
            GEORGES,135.0,1998,9,16.0,56.3,4
            GILBERT,160.0,1988,9,19.7,83.8,5
            GONZALO,125.0,2014,10,25.6,68.7,3
            ISIDORE,110.0,2002,9,21.9,86.1,2
            JOAQUIN,135.0,2015,10,25.4,72.6,4
            KATRINA,150.0,2005,8,26.3,88.6,4
            MARILYN,100.0,1995,9,19.7,66.4,2
            MICHAEL,100.0,2012,9,29.9,41.4,2
            OPHELIA,120.0,2011,10,32.8,62.5,3
            RICHARD,85.0,2010,10,17.2,88.2,1
            ROXANNE,100.0,1995,10,20.0,86.7,2
            UNNAMED,90.0,1970,10,39.0,61.0,1
           CAROLINE,100.0,1975,8,24.0,97.0,2
           DANIELLE,115.0,2010,8,27.1,60.1,3
           FLORENCE,100.0,1953,9,25.9,87.5,2
           FREDERIC,115.0,1979,9,27.4,87.0,3
           HORTENSE,120.0,1996,9,25.9,71.5,3
           HUMBERTO,95.0,1995,8,15.7,43.2,1
           MICHELLE,120.0,2001,11,20.1,83.3,3
           PHILIPPE,80.0,2011,10,28.2,59.7,1
          CLAUDETTE,115.0,1991,9,27.0,61.5,3
          CRISTOBAL,75.0,2014,8,37.5,63.6,1
          FRANCELIA,100.0,1969,9,16.4,86.7,2
          GABRIELLE,125.0,1989,9,19.3,55.7,3
          JOSEPHINE,90.0,1984,10,31.4,71.7,1
